energy_mev,electronic_stopping,nuclear_stopping,total_stopping,csda_range,projected_range,detour_factor
0.001,92.38,11.97,104.3,1.471e-05,3.758e-06,0.2555
0.0015,113.1,10.72,123.9,1.906e-05,5.59e-06,0.2933
0.002,130.6,9.749,140.4,2.285e-05,7.413e-06,0.3245
0.0025,146.1,8.967,155.0,2.623e-05,9.205e-06,0.3509
0.003,160.0,8.324,168.3,2.933e-05,1.096e-05,0.3738
0.004,184.8,7.322,192.1,3.487e-05,1.438e-05,0.4122
0.005,206.6,6.571,213.1,3.981e-05,1.765e-05,0.4434
0.006,226.3,5.982,232.3,4.43e-05,2.08e-05,0.4696
0.007,244.4,5.505,249.9,4.845e-05,2.384e-05,0.4921
0.008,261.3,5.11,266.4,5.232e-05,2.677e-05,0.5117
0.009,277.1,4.775,281.9,5.597e-05,2.961e-05,0.5291
0.01,292.1,4.488,296.6,5.943e-05,3.236e-05,0.5445
0.0125,320.6,3.917,324.5,6.746e-05,3.895e-05,0.5773
0.015,344.8,3.491,348.3,7.489e-05,4.523e-05,0.604
0.0175,365.7,3.157,368.9,8.186e-05,5.127e-05,0.6263
0.02,383.8,2.889,386.7,8.848e-05,5.711e-05,0.6454
0.0225,399.6,2.667,402.2,9.481e-05,6.277e-05,0.662
0.025,413.2,2.48,415.7,0.0001009,6.829e-05,0.6767
0.0275,425.0,2.321,427.3,0.0001069,7.37e-05,0.6898
0.03,435.1,2.183,437.3,0.0001126,7.902e-05,0.7015
0.035,451.0,1.955,452.9,0.0001239,8.943e-05,0.722
0.04,462.0,1.774,463.8,0.0001348,9.964e-05,0.7394
0.045,469.2,1.627,470.9,0.0001455,0.0001097,0.7544
0.05,473.4,1.504,474.9,0.000156,0.0001198,0.7676
0.055,475.2,1.401,476.6,0.0001665,0.0001298,0.7793
0.06,475.1,1.311,476.4,0.000177,0.0001398,0.7898
0.065,473.7,1.234,474.9,0.0001875,0.0001499,0.7994
0.07,471.2,1.166,472.4,0.0001981,0.0001601,0.8081
0.075,468.0,1.106,469.1,0.0002087,0.0001703,0.8161
0.08,464.2,1.052,465.3,0.0002194,0.0001807,0.8234
0.085,460.1,1.003,461.1,0.0002302,0.0001911,0.8302
0.09,455.8,0.9597,456.7,0.0002411,0.0002017,0.8366
0.095,451.3,0.92,452.2,0.0002521,0.0002124,0.8425
0.1,446.8,0.8837,447.7,0.0002632,0.0002232,0.848
0.125,424.5,0.7406,425.3,0.0003205,0.0002791,0.8708
0.15,404.5,0.64,405.1,0.0003808,0.0003381,0.888
0.175,386.7,0.5651,387.3,0.0004439,0.0004001,0.9013
0.2,371.0,0.507,371.5,0.0005098,0.0004649,0.9119
0.225,356.8,0.4604,357.3,0.0005785,0.0005325,0.9205
0.25,344.0,0.4222,344.4,0.0006498,0.0006028,0.9277
0.275,332.3,0.3903,332.7,0.0007236,0.0006757,0.9337
0.3,321.5,0.3632,321.8,0.0008001,0.0007511,0.9389
0.35,301.7,0.3195,302.0,0.0009605,0.0009097,0.9471
0.4,284.2,0.2858,284.4,0.001131,0.001079,0.9535
0.45,268.6,0.2589,268.9,0.001312,0.001258,0.9585
0.5,254.8,0.2369,255.0,0.001503,0.001447,0.9626
0.55,242.5,0.2185,242.7,0.001704,0.001646,0.9659
0.6,231.4,0.203,231.6,0.001915,0.001855,0.9687
0.65,221.5,0.1897,221.6,0.002136,0.002074,0.9711
0.7,212.4,0.1781,212.6,0.002366,0.002303,0.9731
0.75,204.2,0.1679,204.3,0.002606,0.002541,0.9749
0.8,196.6,0.1589,196.8,0.002856,0.002788,0.9764
0.85,189.7,0.1509,189.9,0.003114,0.003045,0.9778
