#Category,#Date,Event Period Start Time for Continuous Forecast Models (24 hours prior to flare),Event Period End Time for Continuous Forecast Models (~14 hours after flare),Response in 24 hours,Flare Onset Time,Flare Peak Time,Flare End Time,Flare Class,Flare Magnitude,Integrated X-ray Flux with time,Flare Lat,Flare Lon,Active Region,Timestamp of last SOHO CME image,Timestamp of last STEREO CME image,CME Time at 21.5Rsun,CME Lat (DONKI),CME Lon (DONKI),CME HA (DONKI),CME 3D Velocity (km/s) (DONKI),Source,Time of CME measurement,CME LASCO C2 First Look Time,CME Plane of Sky Velocity (km/s),CDAW 2D CME Width,CACTus t0,CACTus CME V median (qkl),CACTus CME Vmax (qkl),CACTus 2D CME Width,Flare DONKI Link,CME DONKI Link,WSA-ENLIL DONKI Link,Comments
#,#Original SHINE Non-events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHINE,2012-06-13,2012-06-12 12:29:00,2012-06-14 1:29:00,no response GOES; small increase SOHO 7.8 0 25 MeV,2012-06-13 11:29:00,2012-06-13 13:17:00,2012-06-13 14:31:00,M1.2,1.20E-05,7.50E-02,-18,-21,11504,none,2012-06-13 17:24:00,2012-06-13 19:58:00,-32,-7,39,643,M2M/Carina,Refit for SEPVAL2023,2012-06-13 14:00:00,461,118,2012-06-13 14:24:00,430,822,24,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/6360/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/695/1,,
SHINE,2013-06-07,2013-06-06 23:32:00,2013-06-08 12:32:00,no response GOES; no response SOHO (already elevated with no change),2013-06-07 22:32:00,2013-06-07 22:49:00,2013-06-07 23:04:00,M5.9,5.90E-05,6.80E-02,-28,85,11762,2013-06-08 2:06:00,2013-06-08 2:09:00,2013-06-08 4:18:00,-57,73,39,704,M2M/Carina,Refit for SEPVAL2023,2013-06-07 23:12:12,770,360,2013-06-07 23:12:00,672,844,138,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/332/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/2534/1,,
SHINE,2014-08-01,2014-07-31 19:00:00,2014-08-02 8:00:00,no response GOES; no response SOHO 7.8 - 25 MeV,2014-08-01 18:00:00,2014-08-01 18:12:00,2014-08-01 18:48:00,M1.5,1.50E-05,3.50E-02,-9,-13,12127,2014-08-01 20:11:00,2014-08-01 20:54:00,2014-08-01 23:13:00,-25,-31,36,709,M2M/Carina,Refit for SEPVAL2023,2014-08-01 18:36:05,789,360,2014-08-01 18:36:00,538,1249,136,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/6306/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/6309/1,,
SHINE,2014-10-24,2014-10-23 8:37:00,2014-10-24 21:37:00,no response GOES; no response SOHO (already elevated and decaying in both and continues to decrease),2014-10-24 7:37:00,2014-10-24 7:48:00,2014-10-24 7:53:00,M4.0,4.00E-05,2.30E-02,-19,5,12192,2014-10-24 11:54:00,none,2014-10-24 11:59:00,-14,14,19,728,M2M/Carina,Refit for SEPVAL2023,2014-10-24 8:00:05,677,96,2014-10-24 8:12:00,496,946,82,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7011/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7013/1,,
SHINE,2014-11-06,2014-11-05 4:32:00,2014-11-06 17:32:00,no response GOES; small increase on top of a decay SOHO 7.8 - 25 MeV,2014-11-06 3:32:00,2014-11-06 3:46:00,2014-11-06 4:02:00,M5.4,5.40E-05,7.10E-02,16,-53,12205,2014-11-06 6:30:00,none,2014-11-06 9:31:00,18,-58,38,662,M2M/Carina,Refit for SEPVAL2023,2014-11-06 4:00:05,641,210,2014-11-06 4:12:00,516,677,120,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7157/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7165/1,,
SHINE,2014-11-07,2014-11-06 17:53:00,2014-11-08 6:53:00,no response GOES; no response or possible small increase (depending on timing) in SOHO 7.8 - 25 MeV,2014-11-07 16:53:00,2014-11-07 17:26:00,2014-11-07 17:34:00,X1.6,1.60E-04,1.50E-01,15,-35,12205,2014-11-07 20:42:00,none,2014-11-07 22:16:00,45,-37,52,802,M2M/Carina,Refit for SEPVAL2023,2014-11-07 18:08:34,795,293,2014-11-07 18:08:00,938,2016,360,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7180/4,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7183/2,,
SHINE,2014-12-17,2014-12-16 5:25:00,2014-12-17 18:25:00,perceptible elevation GOES; data gap SOHO,2014-12-17 4:25:00,2014-12-17 4:51:00,2014-12-17 5:20:00,M8.7,8.70E-05,1.90E-01,-18,-8,12242,2014-12-17 9:18:00,none,2014-12-17 8:48:00,-27,1,26,680,M2M/Carina,Refit for SEPVAL2023,2014-12-17 5:00:05,587,360,2014-12-17 5:12:00,260,405,6,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7392/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7400/1,,
SHINE,2014-12-18,2014-12-17 22:41:00,2014-12-19 11:41:00,no response GOES; data gap SOHO,2014-12-18 21:41:00,2014-12-18 21:58:00,2014-12-18 22:25:00,M6.9,6.90E-05,1.00E-01,-11,-10,12241,2014-12-19 2:18:00,none,2014-12-19 0:48:00,-8,-20,44,1405,M2M/Carina,Refit for SEPVAL2023,2014-12-19 1:04:42,1195,360,none,none,none,none,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7410/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7413/2,,"2 frames in C2, CDAW lists different first look time than DONKI"
SHINE,2015-03-09,2015-03-09 0:00:00,2015-03-10 13:29:00,no response GOES; beginning of elevation SOHO 7.8 - 25 MeV but also data gap,2015-03-09 23:29:00,2015-03-09 23:53:00,2015-03-10 0:12:00,M5.8,5.80E-05,8.50E-02,-17,-39,12297,2015-03-10 2:42:00,none,2015-03-10 1:35:00,-9,-23,22,1711,M2M/Carina,Refit for SEPVAL2023,2015-03-10 0:00:05,995,360,2015-03-10 0:00:00,529,1250,168,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/7953/4,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/7956/1,,
SHINE,2016-07-23,2016-07-22 6:00:00,2016-07-23 19:00:00,small impulsive increase GOES; clear impulsive increase SOHO up to 40.9 - 53 MeV,2016-07-23 5:00:00,2016-07-23 5:16:00,2016-07-23 5:24:00,M7.6,7.60E-05,4.60E-02,5,73,12565,2016-07-23 8:18:00,2016-07-23 7:24:00,2016-07-23 10:07:00,15,70,40,740,DONKI/Leila Mays,2016-07-23 16:51:00,2016-07-23 5:24:05,835,117,2016-07-23 5:24:00,671,976,80,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/11052/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/11056/3,,
SHINE,2021-11-01,2021-10-31 1:57:00,2021-11-01 13:00:00,complex bumps on top of a decay GOES and SOHO,2021-11-01 0:57:00,2021-11-01 1:45:00,2021-11-01 2:10:00,M1.5,1.50E-05,3.20E-02,-28,48,12887,2021-11-01 4:54:00,2021-11-01 4:38:00,2021-11-01 7:04:00,-25,48,47,657,DONKI/Anna Chulaki,2021-11-01 23:39:00,2021-11-01 2:00:06,753,274,2021-11-01 2:00:00,588,781,152,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18145/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/18148/1,,NO CDAW
SHINE,2021-11-02,2021-11-01 13:00:00,2021-11-02 16:03:00,complex bumps on top of a decay GOES and SOHO; event on 2021-11-03 more than 24 hrs later,2021-11-02 2:03:00,2021-11-02 2:51:00,2021-11-02 2:57:00,M1.6,1.60E-05,7.50E-02,20,-3,12891,2021-11-02 6:06:00,2021-11-02 5:23:00,2021-11-02 5:52:00,16,-5,51,1151,DONKI/Michelangelo Romano,2021-11-02 18:19:00,2021-11-02 2:48:00,1473,360,2021-11-02 3:12:00,651,1250,288,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18160/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/18161/3,,NO CDAW
SHINE,2022-01-18,2022-01-17 18:01:00,2022-01-19 7:01:00,slight increase in GOES; increase in SOHO up to 15 - 40.9 MeV,2022-01-18 17:01:00,2022-01-18 17:44:00,2022-01-18 18:17:00,M1.5,1.50E-05,3.40E-02,7,53,12929,2022-01-18 20:30:00,2022-01-18 19:38:00,2022-01-18 21:28:00,4,53,47,962,DONKI/Michelangelo Romano,2022-01-19 14:45:00,2022-01-18 17:48:05,1014,153,2022-01-18 17:48:00,892,1358,78,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/18876/4,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/18877/4,,NO CDAW
SHINE,2022-04-17,2022-04-16 4:17:00,2022-04-17 17:17:00,no response GOES; no response SOHO,2022-04-17 3:17:00,2022-04-17 3:34:00,2022-04-17 3:51:00,X1.1,1.10E-04,1.40E-01,14,-73,12994,2022-04-17 5:18:00,2022-04-17 5:24:00,2022-04-17 7:57:00,-10,-102,47,841,M2M/Carina,Refit for SEPVAL2023,2022-04-17 3:48:00,895,209,2022-04-17 3:36:00,828,2016,342,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19807/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/19811/2,,NO CDAW
#,#Solar Cycle 25 Non-events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC25,2022-04-20,2022-04-19 4:41:00,2022-04-20 17:41:00,no response in GOES; small increase in EPHIN,2022-04-20 3:41:00,2022-04-20 3:57:00,2022-04-20 4:04:00,X2.2,2.20E-04,1.00E-01,-28,101,12992,2022-04-20 8:06:00,none,2022-04-20 7:49:00,-18,101,30,868,DONKI/Chris Stubenrauch,2022-04-20 13:21:00,2022-04-20 4:12:05,1001,139,2022-04-20 4:24:00,488,892,22,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19853/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/19859/2,,
SC25,2022-04-29,2022-04-28 8:15:00,2022-04-29 21:15:00,very clear subthreshold event in both spacecraft into ~25 MeV,2022-04-29 7:15:00,2022-04-29 7:30:00,2022-04-29 7:42:00,M1.2,1.20E-05,1.20E-02,26,39,12996,2022-04-29 9:42:00,2022-04-29 8:23:00,2022-04-29 9:53:00,21,37,48,1397,DONKI/Mattie Anastopulos,2022-04-29 15:47:00,2022-04-29 7:36:05,1292,245,2022-04-29 7:36:00,1201,1953,84,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/19982/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/19986/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/19991/1,
SC25,2022-05-25,2022-05-24 19:12:00,2022-05-26 8:12:00,no response in GOES; no EPHIN L3,2022-05-25 18:12:00,2022-05-25 18:24:00,2022-05-25 18:43:00,M1.3,1.30E-05,1.80E-02,-18,42,13016,2022-05-25 21:18:00,2022-05-25 19:38:00,2022-05-25 22:15:00,-29,43,34,929,M2M/Anna Chulaki,2022-05-27 16:27:00,2022-05-25 18:36:05,1134,360,2022-05-25 18:36:00,762,1562,118,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/20337/3,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/20339/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/20341/1,
