#Category,#SEP Event Date,Event Period Start Time for Continuous Forecast Models (24 hours prior to start),Event Period End Time for Continuous Forecast Models (to peak - can go past if makes sense for your model),"Alternative Event for 2D/3D models (forecasts at GOES, SOHO, and STEREO locations)","Exceeds >10 MeV, 10 pfu",>10 MeV Peak Time,"Exceeds >100 MeV, 1 pfu",>100 MeV Peak Time,"Exceeds >30 MeV, 1 pfu",>30 MeV Peak Time,"Exceeds >50 MeV, 1 pfu",>50 MeV Peak Time,Flare Onset Time,Flare Peak Time,Flare End Time,Flare Class,Flare Magnitude,Integrated X-ray Flux with time,Flare Lat,Flare Lon,AR,Timestamp of last SOHO image used in CME analysis,Timestamp of last STEREO image used in CME analysis,CME Time at 21 Rsun,CME Lat (DONKI),CME Lon (DONKI),CME 3D HA (DONKI),CME 3D Velocity (DONKI),Source/Observer,Time of CME Measurement,CME LASCO C2 First Look Time,CME Plane of Sky Velocity,CDAW 2D CME Width,CACTus t0,CACTus CME V median (qkl),CACTus CME Vmax (qkl),CACTCus 2D CME Width,Primary GOES Spacecraft,Flare DONKI Link,CME DONKI Link,SEP DONKI Link,WSA ENLIL DONKI Link,
#,#Original SHINE Challenge Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHINE,2012/3/7,2012/3/6 5:10,2012/3/7 22:30,TRUE,2012/3/7 5:10,2012/3/7 22:30,2012/3/7 4:05,2012/3/7 15:25,2012/3/7 3:40,2012/3/7 17:50,2012/3/7 3:50,2012/3/7 16:15,2012/3/7 0:02,2012/3/7 0:24,2012/3/7 0:40,X5.4,5.40E-04,6.70E-01,17,-15,11429,none,2012/3/7 0:54,2012/3/7 1:38,35,-26,54,2809,M2M/Hannah,Refit for SEPVAL 2023,2012/3/7 0:24,2684,360,2012/3/7 0:36,394,612,22,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/197/2,,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/3298/1,,
SHINE,2012/3/7,2012/3/6 5:10,2012/3/7 22:30,TRUE,2012/3/7 5:10,2012/3/7 22:30,2012/3/7 4:05,2012/3/7 15:25,2012/3/7 3:40,2012/3/7 17:50,2012/3/7 3:50,2012/3/7 16:15,2012/3/7 1:05,2012/3/7 1:14,2012/3/7 1:23,X1.3,1.30E-04,,17,-27,11429,none,2012/3/7 2:09,2012/3/7 1:59,24,-29,50,2040,NOAA (Hazel),2019 for SHINE Challenge,2012/3/7 1:30,1825,360,2012/3/7 1:25,919,1420,60,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/211/2,,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/3298/1,,
SHINE,2012/5/17,2012/5/16 2:10,2012/5/17 4:30,TRUE,2012/5/17 2:10,2012/5/17 4:30,2012/5/17 2:00,2012/5/17 2:30,2012/5/17 2:00,2012/5/17 2:50,2012/5/17 2:00,2012/5/17 3:00,2012/5/17 1:25,2012/5/17 1:47,2012/5/17 2:14,M5.1,5.10E-05,9.90E-02,12,89,11476,2012/5/17 3:18,2012/5/17 3:24,2012/5/17 4:34,-17,71,54,1263,NOAA (Hazel),2019 for SHINE Challenge,2012/5/17 1:48,1582,360,2012/5/17 2:12,1302,1953,360,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/668/2,,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/670/1,,
SHINE,2012/7/12,2012/7/11 18:35,2012/7/12 22:15,TRUE,2012/7/12 18:35,2012/7/12 22:15,none,none,2012/7/12 18:00,2012/7/12 19:05,none,none,2012/7/12 15:37,2012/7/12 16:49,2012/7/12 16:49,X1.4,1.40E-04,4.60E-01,-14,2,11520,none,2012/7/12 18:24,2012/7/12 19:35,-17,-6,70,1400,DONKI (Leila),2017/5/31 21:45,2012/7/12 16:48,885,360,2012/7/12 15:24,467,538,10,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/6/5,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/14/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/9/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/2861/1,
SHINE,2013/4/11,2013/4/10 10:55,2013/4/11 16:45,TRUE,2013/4/11 10:55,2013/4/11 16:45,2013/4/11 9:40,2013/4/11 14:00,2013/4/11 9:10,2013/4/11 14:30,2013/4/11 9:10,2013/4/11 14:10,2013/4/11 6:55,2013/4/11 7:16,2013/4/11 7:29,M6.5,6.50E-05,7.40E-02,9,-12,11719,2013/4/11 10:06,2013/4/11 10:09,2013/4/11 11:54,-6,-17,48,743,NOAA (Hazel),2019 for SHINE Challenge,2013/4/11 7:24,861,360,2013/4/11 7:36,573,919,292,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/144/2,,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/376/1,,
SHINE,2014/1/6,2014/1/5 9:15,2014/1/6 13:50,TRUE,2014/1/6 9:15,2014/1/6 13:50,2014/1/6 8:30,2014/1/6 10:05,2014/1/6 8:20,2014/1/6 10:20,2014/1/6 8:25,2014/1/6 10:25,none,none,none,none,none,none,none,none,11936,2014/1/6 8:24,2014/1/6 9:24,2014/1/6 10:59,-3,110,51,1138,M2M/Chris,Refit for SEPVAL 2023,2014/1/6 8:00,1402,360,2014/1/6 8:00,1201,1736,76,GOES-13,over Western limb,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/4336/4,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/4332/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/4337/1,
SHINE,2014/1/7,2014/1/6 9:20,2014/1/8 5:00,TRUE,2014/1/7 19:20,2014/1/8 5:00,2014/1/7 20:30,2014/1/7 22:20,2014/1/7 19:00,2014/1/8 2:55,2014/1/7 20:00,2014/1/8 1:00,2014/1/7 18:04,2014/1/7 18:32,2014/1/7 18:58,X1.2,1.20E-04,2.50E-01,-15,11,11944,2014/1/7 19:30,2014/1/7 19:24,2014/1/7 20:01,-21,21,50,2048,NOAA (Hazel),2019 for SHINE Challenge,2014/1/7 18:24,1830,360,2014/1/7 18:36,1135,1926,346,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/4351/3,,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/4362/1,,
SHINE,2017/7/14,2017/7/13 9:00,2017/7/14 14:45,TRUE,2017/7/14 9:00,2017/7/14 14:45,none,none,none,none,none,none,2017/7/14 1:07,2017/7/14 2:09,2017/7/14 3:24,M2.4,2.40E-05,1.30E-01,-9,33,12665,2017/7/14 3:30,2017/7/14 3:24,2017/7/14 5:29,-9,40,49,750,DONKI (Barbara Thompson),2017/7/14 13:13,2017/7/14 1:25,1200,360,2017/7/14 1:36,772,1644,240,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/12761/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/12765/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/12759/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/12764/1,
SHINE,2017/9/4,2017/9/4 0:40,2017/9/5 7:10,TRUE,2017/9/5 0:40,2017/9/5 7:10,none,none,2017/9/5 4:30,2017/9/5 0:45,none,none,2017/9/4 20:28,2017/9/4 20:33,2017/9/4 20:37,M5.5,5.50E-05,1.80E-02,-8,16,12673,2017/9/4 23:30,none,2017/9/4 23:10,-24,3,54,1323,NOAA (Hazel),2019 for SHINE Challenge,2017/9/4 20:36,1418,360,2017/9/4 20:48,803,1479,14,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/12979/4,,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/12984/2,,
SHINE,2017/9/6,2017/9/5 12:55,2017/9/6 16:30,FALSE,already above threshold,,none,,2017/9/6 12:55,2017/9/6 16:30,2017/9/6 13:00,2017/9/6 13:30,2017/9/6 11:53,2017/9/6 12:02,2017/9/6 12:10,X9.3,9.30E-04,5.70E-01,-9,34,12673,2017/9/6 15:30,2017/9/6 15:34,2017/9/6 14:21,-10,14,45,1636,M2M/Chris,Refit for SEPVAL 2023,2017/9/6 12:24,1571,360,2017/9/6 12:12,978,1955,360,GOES-13,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/FLR/13010/4,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/CME/13013/2,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/SEP/13081/1,https://kauai.ccmc.gsfc.nasa.gov/DONKI/view/WSA-ENLIL/13031/1,
