"window_begin","window_end","sharp_label","sharp_LAT_MIN_min","sharp_LAT_MIN_max","sharp_LAT_MIN_avg","sharp_LON_MIN_min","sharp_LON_MIN_max","sharp_LON_MIN_avg","sharp_LAT_MAX_min","sharp_LAT_MAX_max","sharp_LAT_MAX_avg","sharp_LON_MAX_min","sharp_LON_MAX_max","sharp_LON_MAX_avg","sharp_USFLUX_min","sharp_USFLUX_max","sharp_USFLUX_avg","sharp_MEANGAM_min","sharp_MEANGAM_max","sharp_MEANGAM_avg","sharp_MEANGBT_min","sharp_MEANGBT_max","sharp_MEANGBT_avg","sharp_MEANGBZ_min","sharp_MEANGBZ_max","sharp_MEANGBZ_avg","sharp_MEANGBH_min","sharp_MEANGBH_max","sharp_MEANGBH_avg","sharp_MEANJZD_min","sharp_MEANJZD_max","sharp_MEANJZD_avg","sharp_TOTUSJZ_min","sharp_TOTUSJZ_max","sharp_TOTUSJZ_avg","sharp_MEANALP_min","sharp_MEANALP_max","sharp_MEANALP_avg","sharp_MEANJZH_min","sharp_MEANJZH_max","sharp_MEANJZH_avg","sharp_TOTUSJH_min","sharp_TOTUSJH_max","sharp_TOTUSJH_avg","sharp_ABSNJZH_min","sharp_ABSNJZH_max","sharp_ABSNJZH_avg","sharp_SAVNCPP_min","sharp_SAVNCPP_max","sharp_SAVNCPP_avg","sharp_MEANPOT_min","sharp_MEANPOT_max","sharp_MEANPOT_avg","sharp_TOTPOT_min","sharp_TOTPOT_max","sharp_TOTPOT_avg","sharp_MEANSHR_min","sharp_MEANSHR_max","sharp_MEANSHR_avg","sharp_SHRGT45_min","sharp_SHRGT45_max","sharp_SHRGT45_avg","sharp_SIZE_min","sharp_SIZE_max","sharp_SIZE_avg","sharp_SIZE_ACR_min","sharp_SIZE_ACR_max","sharp_SIZE_ACR_avg","sharp_NACR_min","sharp_NACR_max","sharp_NACR_avg","sharp_NPIX_min","sharp_NPIX_max","sharp_NPIX_avg","flare_label","flare_num","flare_duration_minutes_min","flare_duration_minutes_max","flare_duration_minutes_avg","flare_peak_duration_minutes_min","flare_peak_duration_minutes_max","flare_peak_duration_minutes_avg","flare_strength_log_min","flare_strength_log_max","flare_strength_log_avg","CME_label","CME_num","CME_donki_Latitude_min","CME_donki_Latitude_max","CME_donki_Latitude_avg","CME_donki_Longitude_min","CME_donki_Longitude_max","CME_donki_Longitude_avg","CME_donki_HalfAngle_min","CME_donki_HalfAngle_max","CME_donki_HalfAngle_avg","CME_donki_Speed_min","CME_donki_Speed_max","CME_donki_Speed_avg","future_flare_label","future_flare_num","future_flare_duration_minutes_min","future_flare_duration_minutes_max","future_flare_duration_minutes_avg","future_flare_peak_duration_minutes_min","future_flare_peak_duration_minutes_max","future_flare_peak_duration_minutes_avg","future_flare_strength_log_min","future_flare_strength_log_max","future_flare_strength_log_avg","future_CME_label","future_CME_num","future_CME_donki_Latitude_min","future_CME_donki_Latitude_max","future_CME_donki_Latitude_avg","future_CME_donki_Longitude_min","future_CME_donki_Longitude_max","future_CME_donki_Longitude_avg","future_CME_donki_HalfAngle_min","future_CME_donki_HalfAngle_max","future_CME_donki_HalfAngle_avg","future_CME_donki_Speed_min","future_CME_donki_Speed_max","future_CME_donki_Speed_avg","future_Operational_SEP_label","future_SEP_MaxFlux","future_SEP_label"
1986-02-02 07:05:00,1986-02-03 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,5,75,16.5555555555556,0,8,3.88888888888889,-15.0533849139659,-12.7168982692962,-14.1180094414705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,5,123,28.7,1,29,6.7,-14.5086577385242,-10.6800163420351,-13.7248081484586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,1
1986-02-03 07:05:00,1986-02-04 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,5,123,28.7,1,29,6.7,-14.5086577385242,-10.6800163420351,-13.7248081484586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,9,62,19.7272727272727,1,7,4.36363636363636,-14.3776294761178,-8.11172808330807,-12.8637919302455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,1
1986-02-04 07:05:00,1986-02-05 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,9,62,19.7272727272727,1,7,4.36363636363636,-14.3776294761178,-8.11172808330807,-12.8637919302455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,95,23.2222222222222,0,16,4.5,-14.865332682463,-8.67971212091401,-13.4879171811453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,1
1986-02-05 07:05:00,1986-02-06 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,3,95,23.2222222222222,0,16,4.5,-14.865332682463,-8.67971212091401,-13.4879171811453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,7,111,26.6,0,91,11.9333333333333,-14.783094584226,-8.67971212091401,-13.4924967256114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1
1986-02-06 07:05:00,1986-02-07 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,7,111,26.6,0,91,11.9333333333333,-14.783094584226,-8.67971212091401,-13.4924967256114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,74,22.4,0,20,6.3,-14.3602377334059,-9.86426683938285,-13.3975447340446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77.6,1
1986-02-07 07:05:00,1986-02-08 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,4,74,22.4,0,20,6.3,-14.3602377334059,-9.86426683938285,-13.3975447340446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,45,13.8,0,7,3.6,-14.8943202193362,-14.3953290532172,-14.6006797791206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77.6,1
1986-02-08 07:05:00,1986-02-09 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,45,13.8,0,7,3.6,-14.8943202193362,-14.3953290532172,-14.6006797791206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,23,11,2,18,5.6,-15.0533849139659,-13.2277238930622,-14.5185592477464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77.6,1
1986-02-09 07:05:00,1986-02-10 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,3,23,11,2,18,5.6,-15.0533849139659,-13.2277238930622,-14.5185592477464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,6,73,40.9090909090909,2,40,14.9090909090909,-14.865332682463,-11.4176152851659,-12.9419608395721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77.6,1
1986-02-10 07:05:00,1986-02-11 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,6,73,40.9090909090909,2,40,14.9090909090909,-14.865332682463,-11.4176152851659,-12.9419608395721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,5,62,19.8461538461538,0,40,11.1538461538462,-14.1865742393551,-11.5129254649702,-13.3702316836784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1986-02-11 07:05:00,1986-02-12 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,5,62,19.8461538461538,0,40,11.1538461538462,-14.1865742393551,-11.5129254649702,-13.3702316836784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,5,34,11.1666666666667,0,12,4.16666666666667,-14.3602377334059,-11.5129254649702,-13.3301388816136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
